SỐ GPLH,NGÀY HẾT HẠN,Tên nguyên liệu,PHÂN LOẠI,TIÊU CHUẨN,CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,NƯỚC SẢN XUẤT NGUYÊN LIỆU,ĐỊA CHỈ CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,PHẢI CẤP PHÉP NHẬP KHẨU
VD-35708-22,2027-06-23T00:00:00+07:00,Copovidon (Copovidone),Tá dược,USP phiên bản hiện hành,Ashland,Mỹ,"ISP Technologies INC, 4501 Attwater Avenue, Texas City",False
VD-35708-22,2027-06-23T00:00:00+07:00,Pravastatin Sodium,Dược chất,USP 43,TEVA Pharmaceutical Works Pvt. Ltd. Co,Hungary,"Pallagi út 13, Debrecen H-4042 Hungary",False
VD-35708-22,2027-06-23T00:00:00+07:00,Food yellow 13,Tá dược,TCCS,"Proquimac PFC, S.A",Tây Ban Nha,"C/Berlin, 5-a (Pol.lnd. Can Torrella), 08233 Vacarisses",False
VD-35708-22,2027-06-23T00:00:00+07:00,Cellulose vi tinh thể 102 (Microcrystalline cellulose 102),Tá dược,USP phiên bản hiện hành,Accent Microcell Pvt.Ltd,Ấn Độ,"314, Shangrilla Arcade, Shyamal Cross Roads, Anandnagar Road, Satellite, Ahmedabad-380015, Gujarat",False
VD-35709-22,2027-06-23T00:00:00+07:00,Cellulose vi tinh thể 102 (Microcrystalline cellulose 102),Tá dược,USP phiên bản hiện hành,Accent microcell Pvt. Ltd,Ấn Độ,"Survey No.533/P, Paldi Kankaj, Pirana Road, Ta.Daskroi, Dist.Ahmedabad-382425, Gujarat",False
VD-35709-22,2027-06-23T00:00:00+07:00,Nebivolol Hydrochloride,Dược chất,TCCS,Cadila Pharmaceuticals Limited,Ấn Độ,"294, G.I.D.C, Industrial Estate, Ankleshwar-393 002 Gujarat, India",False
VD-35709-22,2027-06-23T00:00:00+07:00,Natri croscarmellose (Croscarmellose sodium),Tá dược,USP phiên bản hiện hành,Gujarat Microwax Private Limited,Ấn Độ,401/402 Sarthik Square Nr.GNFC Tower Sarkhej-Gandhinagar Highway Ahmedabad-380054,False
VD-35709-22,2027-06-23T00:00:00+07:00,Lactose monohydrat 100 (Lactose monohydrate 100),Tá dược,BP phiên bản hiện hành,Molkerei Meggle Wasserburg GmbH & Co.KG,Đức,"Megglestr.6-12, 83512 Wasserburg",False
VD-35709-22,2027-06-23T00:00:00+07:00,Magnesi stearat (Magnesium stearate),Tá dược,DĐVN phiên bản hiện hành,Sun Ace Kakoh (PTE.) LTD.,Singapore,"34 Tanjong Penjuru, Jurong Town, 609030",False
VD-35710-22,2027-08-22T00:00:00+07:00,Ubidecarenon,Dược chất,EP 9.0,Kaneka Corporation,Japan,"2-3-18, Nakanoshima, Kita-ku, Osaka 530-8288, Nhật Bản",False
VD-35710-22,2027-08-22T00:00:00+07:00,D-alpha-Tocopherol,Dược chất,USP 40,"DSM Nutritional Products, Inc.",USA,"243 Macks Island Drive Belvidere New Jersey 07823, Mỹ",False
VD-35711-22,2027-08-22T00:00:00+07:00,L-Arginine monohydrochloride,Dược chất,USP 41,"Shine Star (Hubei) Biological Engineering Co., Ltd",CHINA,"No. 666 Chan ling Avenue, Douhudi Town, Gong An, Jingzhou, Hubei, P.R.China",False
VD-35711-22,2027-08-22T00:00:00+07:00,Pyridoxine hydrochloride,Dược chất,BP 2018,"Jiangxi Tianxin Pharmaceutical Co.,Ltd",CHINA,"Le’anjiang Industrial Zone, Leping, Jiangxi, 333300, China.",False
VD-35711-22,2027-08-22T00:00:00+07:00,Thiamine hydrochloride,Dược chất,EP 9.0,DSM Nutritional Products GmbH,Switzerland,"Postfact 1145, D-79 629 Grenzach-Wyhlen, Switzerland",False
VD-35713-22,2027-08-22T00:00:00+07:00,Dapoxetin HCl,Dược chất,TC NSX,"NOSCH LABS PVT LTD 
UNIT-II",INDIA,"SY No.14, Gaddapotharam Village, IDA, Kazipally, Jinnaram Mandal, Sangareddy District – 502319, Telangana State, India",False
VD-35714-22,2027-08-22T00:00:00+07:00,Paracetamol,Dược chất,BP,"Anqiu LuAn Pharmaceutical Co., Ltd.",CHINA,"No.35, Weixu North Road, Anqiu City, Shandong Province, China.",False
VD-35715-22,2027-08-22T00:00:00+07:00,Amoxicillin trihydrate,Dược chất,BP 2016,"Henan Lvyuan Pharmaceutical Co., Ltd.",CHINA,"Qiliying Town Industrial Park, Xinxiang County, Henan Province, China",False
VD-35719-22,2027-08-22T00:00:00+07:00,Cellulose vi tinh thể 112 (Microcrystalline Cellulose 112),Tá dược,USP phiên bản hiện hành,Gujarat Microwax Private Limited,Ấn Độ,"401/402 Sarthik Square, Nr. GNFC Tower, Sarkhej-Gandhinagar Highway, Ahmedabad - 380054",False
VD-35719-22,2027-08-22T00:00:00+07:00,"Nang rỗng số 4, nắp vàng đậm, thân vàng nhạt",Vỏ nang,TCCS,PT Capsugel Indonesia,Indonesia,"JI. Raya Jakarta – Bogor Km. 42,5 Kp. Padurenan RT 003 RW 007 Kel. Pabuaran, Kec. Cibinong, Borgor, Jawa Barat",False
VD-35719-22,2027-08-22T00:00:00+07:00,Natri bicarbonat (Sodium bicarbonate),Tá dược,USP phiên bản hiện hành,Solvay Chemicals GmbH,Đức,"Xantener Strasse 237, 0-47495 Rheinberg",False
VD-35719-22,2027-08-22T00:00:00+07:00,Natri stearyl fumarat (Sodium stearyl fumarate),Tá dược,USP phiên bản hiện hành,JRS PHARMA GmbH & Co. KG,Đức,Holzmühle 1 D-73494 Rosenberg,False
VD-35719-22,2027-08-22T00:00:00+07:00,Ramipril,Dược chất,EP 10,Aarti Industries Limited,Ấn Độ,"Unit – IV, Plot No E–50, MIDC, Tarapur, Taluka & District-Palghar, Pin 401506 Maharashtra",False
VD-35719-22,2027-08-22T00:00:00+07:00,Cellulose vi tinh thể silicified 50 (Silicified Microcrystalline Cellulose 50),Tá dược,USP phiên bản hiện hành,JRS PHARMA GmbH & Co. KG,Đức,Holzmühle 1 D-73494 Rosenberg,False
VD-35719-22,2027-08-22T00:00:00+07:00,Calci sulphat dihydrat (Calcium sulphate dihydrate),Tá dược,USP phiên bản hiện hành,JRS PHARMA GmbH & Co. KG,Đức,Holzmühle 1 D-73494 Rosenberg,False
VD-35719-22,2027-08-22T00:00:00+07:00,Tinh bột tiền gelatin hóa (Pregelatinized starch),Tá dược,USP phiên bản hiện hành,Roquette Freres,Pháp,"1, Rue de la Haute Loge, 62136 Lestrem",False
VD3-57-20,2023-06-15T00:00:00+07:00,Codeine phosphate hemihydrate,Dược chất,EP 8.0,ALCALIBER S.A,Spain,"Central/ Head Office: Calle de Génova 27, Planta 6, 28004 Madrid, Spain Factory: Avda. Ventalomar, 1, 45007 Toledo, Spain",True
VD-35720-22,2027-08-22T00:00:00+07:00,"Nang rỗng số 4, nắp xanh dương nhạt, thân trắng đục",Vỏ nang,TCCS,PT Capsugel Indonesia,Indonesia,"JI. Raya Jakarta – Bogor Km. 42,5 Kp. Padurenan RT 003 RW 007 Kel. Pabuaran, Kec. Cibinong, Borgor, Jawa Barat",False
VD-35720-22,2027-08-22T00:00:00+07:00,Ramipril,Dược chất,EP 10,Aarti Industries Limited,Ấn Độ,"Unit – IV, Plot No E–50, MIDC, Tarapur, Taluka & District-Palghar, Pin 401506 Maharashtra",False
VD-35723-22,2027-09-09T00:00:00+07:00,Aescin,Dược chất,TCCS,Indena S.P.A,ITALY,"Via Don Minzoni 6, Via Moso, 8/10, Settala, 20090, Italy",False
VD-35724-22,2027-09-09T00:00:00+07:00,Aescin,Dược chất,TCCS,Indena S.P.A,ITALY,"Via Don Minzoni 6, Via Moso, 8/10, Settala, 20090, Italy",False
VD-35727-22,2027-09-09T00:00:00+07:00,WHITE OIL (PHARMA GRADE),Tá dược,BP 2018,Gandhar Oil Refinery India Ltd,India,"18th Floor, DLH Park, S.V. Road, Opp MTNL, Goregaon West, Mumbai, Maharashtra 400062, India",False
VD-35727-22,2027-09-09T00:00:00+07:00,CRODACOL S95-PA-(SG) (Stearyl alcohol),Tá dược,USP 40,CRODA SINGAPORE PTE LTD,Singapore,30 Seraya Avenue Singapore 627884,False
VD-35727-22,2027-09-09T00:00:00+07:00,SPAN 60 PHARMA-PA-(SG),Tá dược,USP 40,CRODA SINGAPORE PTE LTD,Singapore,30 Seraya Avenue Singapore 627884,False
VD-35727-22,2027-09-09T00:00:00+07:00,Ketoconazole,Dược chất,USP 41,CUREWORTH DRUGS & INTERMEDIATES PVT.LTD，,INDIA,NA,False
VD-35727-22,2027-09-09T00:00:00+07:00,TWEEN 60 PHARMA-SS-(SG),Tá dược,USP 40,CRODA SINGAPORE PTE LTD,Singapore,30 Seraya Avenue Singapore 627884,False
VD-35727-22,2027-09-09T00:00:00+07:00,Methylparaben,Tá dược,USP 40,"WUHU HUAHAI BIOLOGY ENGINEERING CO., LTD",China,"No.1-1 Xiajia Hu Road, Sanshan Economic Area, Wuhu, China.",False
VD-35728-22,2027-09-09T00:00:00+07:00,Methylprednisolone sodium succinate,Dược chất,NSX,SYMBIOTEC PHARMALAB PVT. LIMITED.,INDIA,NA,False
VD-35730-22,2027-09-09T00:00:00+07:00,Codein phosphat,Dược chất,EP 8.0,ALCALIBER S.A,Spain,"Plaza de Colon, 2-Torre I, Planta 13 28046 Madrid, Spain",True
VD-35731-22,2027-09-09T00:00:00+07:00,Guaifenesin,Dược chất,USP 41,Granules India Limited,INDIA,"Plot No.15 A/1, IDA, Phase-III, Jeedimetla, Quthbullapur Mandal, Medchal-Malkajgiri Dist-500055, Telangana State, India.",False
VD-35731-22,2027-09-09T00:00:00+07:00,Codeine phosphate hemihydrate,Dược chất,EP 9.0,Sanofi chimie,France,Route d’Avignon 30390 Aramon - France,True
VD-35731-22,2027-09-09T00:00:00+07:00,Guaifenesin,Dược chất,USP 41,Gennex Laboratories Limited,INDIA,"- Địa chỉ trên phiếu kiểm nghiệm: Sy. No 133, I.D.A, Bollaram, Jinnaram Mandal, SangaReddy District – 502325, Telangana, India.
- Địa chỉ trên GMP: Sy.No.133, Bollaram(V), Jinnaram(M), Sangareddy (Dist.), 502325, India.",False
VD-35731-22,2027-09-09T00:00:00+07:00,Codeine phosphate hemihydrate,Dược chất,EP 9.0,Macfarlan Smith Limited,United Kingdom,"10 Wheatfield Road, Edinburgh EH11 2QA, Scotland (United Kingdom).",True
VD-35732-22,2027-09-09T00:00:00+07:00,Famotidin,Dược chất,USP 40,Rakshit Pharmaceuticals Limited,Ấn Độ,"Plot No.68/A, Jawaharlal Nehru Pharma City, Parawada Mandal, Visakhapatnam District, Andhra Pradesh",False
VD-35733-22,2027-09-09T00:00:00+07:00,Hydrochlorothiazide,Dược chất,USP 41 + NSX,"Suzhou Lixin Pharmaceutical Co., Ltd.",P.R China,"No.21, Tangxi Road, Suzhou New District, 215151, P.R.China",False
VD-35733-22,2027-09-09T00:00:00+07:00,Telmisartan,Dược chất,EP 9,Verdant Life Sciences Pvt.Ltd.,INDIA,"Plot No.55, JNPC, Parawada, Visakhapatnam - 531019,
 Andhra Pradesh, India",False
VD-35734-22,2027-09-09T00:00:00+07:00,Linezolid,Dược chất,TC NSX,Glenmark Pharmaceuticals Ltd.,Ấn Độ,"Plot No A-80, MIDC Area Kurkumbb, Taluaka Daund, Dist. Pune, 413802, Maharashtra, India-Ấn Độ",False
VD-35735-22,2022-09-09T00:00:00+07:00,Bột vitamin E,Dược chất,TC NSX,"Zhejiang Medicine Co., Ltd Xinchang Pharmaceutical Factory, China.",Trung Quốc,"59 Huancheng East Road, Chengguan Town, Xinchang, 312500, China.",False
VD-35736-22,2027-09-09T00:00:00+07:00,Ethyl acrylate and Methyl methacrylate copolymer dispersion (Eudragit NM 30 D),Tá dược,USP 41,Evonik Nutrition & Care GmbH,Germany,"Rellinghauser Street 1-11, 45128 Essen, Germany",False
VD-35736-22,2027-09-09T00:00:00+07:00,Racecadotril,Dược chất,EP 9.0,Symed Labs Limited (Unit-II),INDIA,India,False
VD-35736-22,2027-09-09T00:00:00+07:00,Silicified microcrystalline cellulose (Prosolv SMCC 90 LM),Tá dược,USP 41,JRS Pharma GMBH & Co. KG,Mỹ,"2981 Route 22, Suite 1 Patterson, NY 12563-2359, USA",False
VD-35736-22,2027-09-09T00:00:00+07:00,Lactose (Sachelac 80),Tá dược,DĐVN V,Molkerei MEGGLE Wasserburg GmbH & Co. KG,Germany,"Megglestr. 6-12 83512 Wasserburg, Germany",False
VD-35736-22,2027-09-09T00:00:00+07:00,Silicon dioxide (Sylysia 350FCP),Tá dược,USP 41,Fuji Sylysia Chemical Ltd,Hoa,"1215 Sugg Parkway, Greenville, NC 27834",False
VD-35736-22,2027-09-09T00:00:00+07:00,Apricot flavouring powder,Tá dược,NSX,Ipra France,France,P.A de I’Argile Impasse des Bruyere No130 06370 Mouans- Sartoux - France,False
VD-35737-22,2027-09-09T00:00:00+07:00,Benzoyl Peroxide ( dưới dạng Hydrous Benzoyl Peroxide ),Dược chất,EP 9.0,Cambrex Karlskoga AB,Thụy Điển,"SE-69185 Karlskoga, Thụy điển",False
VD-35737-22,2027-09-09T00:00:00+07:00,Adapalene,Dược chất,USP40,Bal Pharma Limited,INDIA,"61-B, Bommasandra Industrial Area Bangalore-560 099, Karnataka, Ấn Độ",False
VD-35738-22,2027-09-09T00:00:00+07:00,Cefdinir,Dược chất,USP 41,Covalent Laboratories Private Ltd.,INDIA,"Survey No.374, Gundla Machanoor Village, Hathnoor Mandal, Medak Dist – 502296, Telangana, India",False
VD-35740-22,2027-09-09T00:00:00+07:00,"Esomeprazol (dưới dạng esomeprazol magnesi trihydrat vi hạt 22,5%)",Dược chất,NSX,Lee Pharma Limited,INDIA,"Plot No. V, Phase-II, VSEZ, Duvvada, Sabbavaram (M), Visakhapatnam District-530049, Andhra Pradesh, India",False
VD-35741-22,2027-09-09T00:00:00+07:00,Cefuroxime natri,Dược chất,USP 41,Sterile India Pvt. Ltd,INDIA,"Plot No-100, Sec-56, Phase-IV, Kundli, Sonepat, Haryana, India",False
VD-35743-22,2027-09-09T00:00:00+07:00,Carbocistein,Dược chất,BP2018,Panchsheel Organics Limited,INDIA,"B6 – B7, Sector – C, Sanwer Road, Industrial Estate, Indore, Indore M.P. State, India",False
VD-35744-22,2027-09-09T00:00:00+07:00,Lovastatin,Dược chất,USP 41,Sterling Biotech Limited,INDIA,"Jambusar State Highway, Village Masar-391 421, Ta. Padra, Vadodara, Gujarat, India",False
VD-35745-22,2027-09-09T00:00:00+07:00,Ramipril,Dược chất,BP2016,"Shaanxi TOP Pharm Chemical Co., Ltd,",Trung Quốc,"No. 108, West sector, Nan er huan, Xi’an, China",False
VD-35746-22,2027-09-09T00:00:00+07:00,Telmisartan,Dược chất,EP 9.0,"Jiangsu Zhongbang Pharmaceutical Co., Ltd.",CHINA,"36 Shuanggao Road, Gaochun Town, Nanjing, China",False
VD-35747-22,2027-09-09T00:00:00+07:00,valsartan,Dược chất,USP 40,Smilax Laboratories Ltd.,INDIA,"Plot. No: 70&71, J.N.Pharma City, Parawada, Visakhapatnam - 531021, Andhra Pradesh, India.",False
VD-35748-22,2027-09-09T00:00:00+07:00,Betamethason valerate,Dược chất,USP hiện hành,Farmabios,ITALY,"Via Pavia, 1 – 27027 Gropello Cairoli PV",False
VD-35748-22,2027-09-09T00:00:00+07:00,Neomycin sulfate,Dược chất,USP hiện hành,"Yichang Sanxia Pharmaceutical Co., Ltd",CHINA,"No. 8 Ziyang Road, Dianjun District, Yichang City, Hubei Province",False
VD-35749-22,2027-09-09T00:00:00+07:00,Cafeine,Dược chất,BP/EP hiện hành,Aarti Industries Limited,INDIA,"K-17/18/19, M.I.D.C., Tarapur, Dist. Thane-Maharashtra, 401 506",False
VD-35749-22,2027-09-09T00:00:00+07:00,Paracetamol,Dược chất,USP hiện hành,"Hebei Jiheng Pharmaceutical Co., Ltd",CHINA,"368 Jianshe street, Hengshui city, Hebei 053000",False
VD-35750-22,2027-09-09T00:00:00+07:00,Omega-3-acid ethyl esters,Dược chất,USP 41,K.D. Pharma Bexbach GmbH,GERMANY,"Am Kraftwerk 6, D-66450 Bexbach",False
VD-35751-22,2027-09-09T00:00:00+07:00,Ambroxol hydroclorid,Dược chất,BP 2020,"Ami Lifesciences Pvt. Ltd.,",Ấn Độ,"Block No. 82/B, ECP Road,, AT&POST.Karakhadi, Tal -Padra KARAKHADI - 391450, Dist- VADODARA",False
VD-35752-22,2027-09-09T00:00:00+07:00,Amlodipine besilate,Dược chất,EP hiện hành  + TC NSX,Hetero Drugs Limited,INDIA,"(UNIT-I) Sy.No.s. 213, 214 & 255, Bonthapally Village, Gummadidala Mandal, Sangareddy District, Telangana State",False
VD-35753-22,2027-09-09T00:00:00+07:00,Piracetam,Dược chất,EP hiện hành,"Jiangxi Yuehua Pharmaceutical Co., Ltd.",CHINA,"No. 58, Changxi Road, Jingdezhen City, Jiangxi Province, China 333000",False
VD-35754-22,2027-09-09T00:00:00+07:00,Piracetam,Dược chất,EP hiện hành  + TC NSX,"Jiangxi Yuehua Pharmaceutical Co., Ltd.",CHINA,"West side of Huanbao Road, High-tech Zone, Jingdezhen City, Jiangxi Province",False
VD-35755-22,2027-09-09T00:00:00+07:00,Calci pantothenat,Dược chất,USP 41,"Xinfa Pharmaceutical Co., Ltd",CHINA,"No.1 Tongxing Road, Kenli County, DongyingCity, Shandong.",False
VD-35755-22,2027-09-09T00:00:00+07:00,Thiamine mononitrate,Dược chất,USP 41,"Jiangxi Tianxin Pharmaceutical Co., Ltd.",CHINA,"Le’anjiang Industrial Zone, Leping City, Jiangxi Province, China.",False
VD-35755-22,2027-09-09T00:00:00+07:00,Riboflavin,Dược chất,USP 41,"Hubei Guangji Pharmaceutical Co., Ltd.",CHINA,"DaJin Guangji pharmaceutical Bio-Industry Park, Wuxue City, Hubei Province, China.",False
VD-35755-22,2027-09-09T00:00:00+07:00,Nicotinamide,Dược chất,USP 41,"Tianjin Zhongrui Pharmaceutical Co., Ltd.",CHINA,"Eastern Beihuan Road, Chengguan Town, Wuqing District, Tianjin City, China.",False
VD-35755-22,2027-09-09T00:00:00+07:00,Pyridoxine hydrochloride,Dược chất,USP 41,"Jiangxi Tianxin Pharmaceutical Co., Ltd.",CHINA,"Le’anjiang Industrial Zone, Leping City, Jiangxi Province, China.",False
VD-35755-22,2027-09-09T00:00:00+07:00,Cyanocobalamine,Dược chất,USP 41,"Hebei Yuxing Bio-engineering CO., Ltd.",CHINA,"Xicheng District, Ningjin County, Hebei Province, China.",False
VD-35757-22,2027-09-09T00:00:00+07:00,Prednisolon,Dược chất,EP 9.0,"Zhejiang Xianju Pharmaceutical Co., Ltd.",CHINA,"No.1, Xianyao Road, Xianju, Taizhou, Zhejiang, China.",False
VD-35758-22,2027-09-09T00:00:00+07:00,"Tobramycin 
(dưới dạng Tobramycin sulfat)",Dược chất,USP hiện hành,"Livzon Group Fuzhou Fuxing Pharmaceutical Co., LTD.",CHINA,"No.8 Nangang Road, Jiangyin Industrial Concentration Zone, Fuqing, Fuzhou City, Fujian Province, P.R. China., 350309",False
VD-35758-22,2027-09-09T00:00:00+07:00,Dexamethason phosphat (dưới dạng Dexamethason natri phosphat),Dược chất,USP hiện hành,"Zhejiang Xianju Pharmaceutical Co., Ltd",CHINA,"15 West Fengxi Road, Modern Industrial Park, Xianju, Taizhou, Zhejiang, China",False
VD-35758-22,2027-09-09T00:00:00+07:00,"Tobramycin 
(dưới dạng Tobramycin sulfat)",Dược chất,USP hiện hành,Xellia Pharmaceuticals ApS,Denmark,"Dalslandsgade 11, København S, 2300, Denmark",False
VD-35760-22,2027-09-09T00:00:00+07:00,Cetirizin dihydrochloride,Dược chất,EP 9.0,Supriya Lifescience Ltd,INDIA,"207/208, Udyog Bhavan, Sonawala Road, Goregaon (East), Mumbai 400 063. Maharashtra, India.",False
VD-35761-22,2027-09-09T00:00:00+07:00,Paracetamol,Dược chất,BP 2014,Anqiu Lu’an Pharmaceutical Co. Ltd,CHINA,"No. 35, Weixu North Road, Anqiu, Shandong",False
VD-35761-22,2027-09-09T00:00:00+07:00,Ibuprofen,Dược chất,BP 2014,IOL Chemicals and Pharmaceuticals Ltd,INDIA,"85, Industrial Area “A”, Ludhiana - 141003 (Pb.)",False
VD-35764-22,2027-09-09T00:00:00+07:00,Silicified microcrystalline cellulose,Tá dược,USP 41,JRS PHARMA GmbH & Co. KG.,Germany,"73494 Rosenberg, Germany",False
VD-35764-22,2027-09-09T00:00:00+07:00,Vivacoat PA-1P-000,Tá dược,NSX,JRS PHARMA GmbH & Co. KG,Germany,"D-73494 Rosenberg, Germany",False
VD-35764-22,2027-09-09T00:00:00+07:00,Colloidal anhydrous silica,Tá dược,BP 2018,Madhu silica pct.Ltd,India,"147, GIDC Estate, Vartej, Bhavnagar – 364060 Gujarat, India.",False
VD-35764-22,2027-09-09T00:00:00+07:00,Ferric oxide (yellow),Tá dược,DĐVN V,Univar Colour UK,United Kingdom,"Victoria House, Radford Way, Billericay CM12 0DX, UK",False
VD-35764-22,2027-09-09T00:00:00+07:00,Povidone K30,Tá dược,DĐVN V,CellMark Chemicals Singapore Pte.Ltd,Singapore,271 Bukit Timah Road #03-13 Balmoral Plaza Singapore 259708.,False
VD-35764-22,2027-09-09T00:00:00+07:00,Sodium stearyl fumarate,Tá dược,USP 41,KLK OLEO,Malaysia,"Level 8, Menara KLK 1,Jalan Pju 7/6,Mutiara Damansara, 47810, Petaling Jaya, Selangor, 47800, Malaysia.",False
VD-35764-22,2027-09-09T00:00:00+07:00,Sodium lauryl sulfate,Tá dược,BP 2018,KLK OLEO,Malaysia,"Level 8, Menara KLK 1,Jalan Pju 7/6,Mutiara Damansara, 47810, Petaling Jaya, Selangor, 47800, Malaysia.",False
VD-35764-22,2027-09-09T00:00:00+07:00,Microcrystalline cellulose 101,Tá dược,BP 2018,Sigachi Industries Pvt. Ltd,India,"Plot No.20, Phase 1, Idia, Pashammailaram-502 307, T.S, India",False
VD-35764-22,2027-09-09T00:00:00+07:00,Levofloxacin,Dược chất,USP 41,Aurobindo Pharma Ltd,INDIA,India,True
VD-35764-22,2027-09-09T00:00:00+07:00,Titanium dioxide,Tá dược,DĐVN V,Paecheza,Czech Republic,"Nábř. Dr. E. Beneše 1170/24, PSČ 75002 Přerov Czech Republic.",False
VD-35764-22,2027-09-09T00:00:00+07:00,Ferric oxide (red),Tá dược,DĐVN V,Univar Colour UK,United Kingdom,"Victoria House, Radford Way, Billericay CM12 0DX, UK",False
VD-35765-22,2027-09-09T00:00:00+07:00,Levofloxacin,Dược chất,USP 41,Aurobindo Pharma Ltd,INDIA,India,True
VD-35766-22,2027-09-09T00:00:00+07:00,"Clotrimazol 
(Clotrimazole)",Dược chất,BP 2017,Hema Pharmaceuticals Pvt Ltd,INDIA,-,False
VD-35766-22,2027-09-09T00:00:00+07:00,"Clotrimazol 
(Clotrimazole)",Dược chất,EP 9,Amoli Organics Pvt. Ltd.,INDIA,-,False
VD-35766-22,2027-09-09T00:00:00+07:00,"Clotrimazol 
(Clotrimazole)",Dược chất,EP 8,Olon S.p.a.,ITALY,-,False
VD-35767-22,2027-09-09T00:00:00+07:00,Gelatin,Tá dược,BP 2017,"GELTECH Co., Ltd",Korea,"161, Noksansaneopjung-ro, Gangseo-gu, Busan, Korea",False
VD-35767-22,2027-09-09T00:00:00+07:00,Nước tinh khiết,Tá dược,EP 9.0,Công ty TNHH Phil Inter Pharma,Việt Nam,"Số 20, Đại lộ Hữu Nghị, KCN Việt Nam–Singapore, Thuận An, Bình Dương, Việt Nam",False
VD-35767-22,2027-09-09T00:00:00+07:00,D-alpha tocopherol,Tá dược,BP 2017,"Zhejiang Medicine Co., Ltd Xinchang Pharmaceutical Factory",China,"98 East Xinchang Dadao Road, Xinchang, Zhejiang 312500, P.R China",False
VD-35767-22,2027-09-09T00:00:00+07:00,Glycerin đậm đặc,Tá dược,USP 40,FLG Oleo Chemicals SDN BHD,Malaysia,Lot 3831 Kuantan Port Industrial Area Tanjung Gelang. Peti Surat 26 Pejabat Pos Balok 26080 Kuantan Pahang Darul Makmur Malaysia,False
VD-35767-22,2027-09-09T00:00:00+07:00,Titan dioxyd,Tá dược,BP 2017,ROHA EUROOE S.L.U,Spain,"Llibrers,19P.l.Masia Del Juez-46900 Torrent, Spain",False
VD-35767-22,2027-09-09T00:00:00+07:00,Alfacalcidol,Dược chất,BP 2017,Century Pharmaceuticals Ltd,INDIA,"103, 104, 105, 106, GIDC. Estate, Halol-389350, India",False
VD-35767-22,2027-09-09T00:00:00+07:00,Dầu mè,Tá dược,BP 2017,AOS Products Private Limited AN ISO 9001-2008 and GMP accredited Company,India,"S-33, South Side GT Road Industrial Area, Ghaziabad 201012, U.P, India",False
VD-35768-22,2027-09-09T00:00:00+07:00,Propylene glycol,Tá dược,USP 40,Dow Chemical Pacific,Singapore,"B-1706, 2301 Brazosport BLVD Freeport, Singapore",False
VD-35768-22,2027-09-09T00:00:00+07:00,Hydroxypropyl cellulose,Tá dược,USP 40,Nippon Soda,Japan,"950, Fujisawa, Nakago-ku, Joetsushi, Niigata, 949-2392, Japan",False
VD-35768-22,2027-09-09T00:00:00+07:00,Butylated hydroxyanisole,Tá dược,USP 40,Panreac Quimica S.L.U,Espana,"C/Garraf, 2 Poligono Pla de la Bruguera E-08211 Castellar del Valles (Barcelona) Espana",False
VD-35768-22,2027-09-09T00:00:00+07:00,Erythromycin,Dược chất,BP 2017,"Taishan City Chemical Pharmaceutical Co., Ltd",CHINA,"No.98 Longzhou road, Taicheng, Taishan City, Guangdong, China",False
VD-35768-22,2027-09-09T00:00:00+07:00,Tretinoin,Dược chất,USP 40,"Taizhou Hengfeng Pharmaceutical & Chemical Co., Ltd",CHINA,"Shuiyang chemical development zone, Linhai city, Zhejiang province, China",True
VD-35769-22,2027-09-09T00:00:00+07:00,Hỗn hợp vô trùng của cefoperazone sodium và sulbactam sodium (1:1),Dược chất,NSX,"Suzhou Dawnrays Pharmaceutical Co.,Ltd",CHINA,"No.22 Tianling road, Wuzhong Economic. Development District, Suzhou, Jiangsu Province, P.R.China",False
VD-35769-22,2027-09-09T00:00:00+07:00,Sulbactam,Dược chất,NSX,"Suzhou Dawnrays Pharmaceutical Co.,Ltd",CHINA,"No.22 Tianling road, Wuzhong Economic. Development District, Suzhou, Jiangsu Province, P.R.China",False
VD-35770-22,2027-09-09T00:00:00+07:00,D-sorbitol 70%,Tá dược,EP 9.0,ROQUETTE LESTREM PLANT,France,"1, Rue de la Haute Loge, 62136 Lestrem, France",False
VD-35770-22,2027-09-09T00:00:00+07:00,Polyethylene glycol 400,Tá dược,EP 9.0,"SINO-JAPAN CHEMICAL CO., LTD",Taiwan,"No 6 Shih Hwa 4th Rd., Linyuan, Kaohsiung Hsien, Taiwan",False
VD-35770-22,2027-09-09T00:00:00+07:00,Polyoxyl 40,Tá dược,USP 40,NOF CORPORATION,Japan,Yebisu Garden Place Tower 20-3 EBISU 4-Chome Shibuya - KU Tokyo 150-6019 Japan,False
VD-35770-22,2027-09-09T00:00:00+07:00,Succinylated gelatin,Tá dược,EP 9.0,"GELTECH Co., Ltd",Korea,"161, Noksansaneopjung-ro, Gangseo-gu, Busan, Korea",False
VD-35770-22,2027-09-09T00:00:00+07:00,Propylene glycol,Tá dược,EP 9.0,DOW CHEMICAL PACIFIC,Singapore,"B-1706, 2301 Brazosport BLVD Freeport, Singapore",False
VD-35770-22,2027-09-09T00:00:00+07:00,Polysorbat 80,Tá dược,EP 9.0,CRODA SINGAPORE PTE LTD,Singapore,"30 Seraya Avenue, Singapore-627884",False
