SỐ ĐĂNG KÝ LƯU HÀNH,NGÀY HẾT HIỆU LỰC SỐ ĐĂNG KÝ,"TÊN TÁ DƯỢC, VỎ NANGTÊN CƠ SỞ SẢN XUẤT",NƯỚC SẢN XUẤT,TIÊU CHUẨN CHẤT LƯỢNG
VD-17805-12,2022-06-13T00:00:00+07:00,Opadry II 85G60031 purple (Tên TM: Opadry II Complete Film Coating System 85G60031 purple),Shanghai Colorcon coating technology Limited,Trung Quốc,TCNSX
VD-17805-12,2022-06-13T00:00:00+07:00,Microcrystalline Cellulose M301 (Tên TM: Microcrystalline Cellulose),Mingtai chemical Co. Ltd.,Đài Loan,USP hiện hành
VD-17805-12,2022-06-13T00:00:00+07:00,Magnesium Stearate (Tên TM: Palmstar Mgst 325-BP/USP/EP Magnesium Stearate),Peter Greven Asia SDN BHD,Malaysia,USP hiện hành
VD-17805-12,2022-06-13T00:00:00+07:00,Colloidal silicon dioxide  (Tên TM: CAB-O-SIL M5P),CABOT GmbH,Đức,USP hiện hành
VD-17805-12,2022-06-13T00:00:00+07:00,Pregelatinized Starch (Tên TM: 341001- KLEPTOSE® - Betadex),Roquette Freres,Pháp,USP hiện hành
VD-17805-12,2022-06-13T00:00:00+07:00,Dibasic Calcium Phosphate anhydrous (mill),"Innophos Inc.,",Mỹ,USP hiện hành
VD-17805-12,2022-06-13T00:00:00+07:00,Starch (Tên TM: Maize Starch B),Roquette Freres,Pháp,EP hiện hành
VD-17805-12,2022-06-13T00:00:00+07:00,Crospovidone Micronized (Tên TM: Polyplasdone (TM) INF-10 Crospovidone Type B,ISP Chemicals LLC Affiliate of Ashland,Mỹ,USP hiện hành
VD-32070-19,2024-02-27T00:00:00+07:00,PEG-6 và PEG-32 stearat (và) glycol stearat,Gattefossé SAS,France,Nhà sản xuất
VD-29275-18,2023-02-22T00:00:00+07:00,Glyceryl monostearat 40-55 (type I),Gattefosse SAS,France,BP 2013
VD-28180-17,2022-09-19T00:00:00+07:00,Isomalt,Beneo-palatinit GmbH,Germany,USP 38
VD-31680-19,2024-02-27T00:00:00+07:00,Opadry white (Opadry® QX Quick and Flexible Film Coating System 321A280003 White),Shanghai Colorcon Coating Technology Ltd,China,NSX
VD-31680-19,2024-02-27T00:00:00+07:00,Colloidal silicon dioxyd,Evonik Industries AG Rellinghauser,Germany,USP 38
VD-31680-19,2024-02-27T00:00:00+07:00,Sodium lauryl sulfate,PT. Kao Indonesia Chemical,Indonesia,USP 38
VD-28644-17,2022-09-19T00:00:00+07:00,Propylene glycol,AGC Inc.,Nhật Bản,JP hiện hành (JP 17)
VD-28644-17,2022-09-19T00:00:00+07:00,Propylene glycol,Shell Eastern Chemicals,Singapore,USP hiện hành (USP 42)
VD-28645-17,2022-09-19T00:00:00+07:00,Perfume,"Nagaoka Co., Ltd.",Nhật Bản,Tiêu chuẩn cơ sở
VD-28645-17,2022-09-19T00:00:00+07:00,Isopropylmethyl phenol,"Sumitomo Chemical Company, Limited",Nhật Bản,Tiêu chuẩn cơ sở
VD-28645-17,2022-09-19T00:00:00+07:00,Polyglycerol polyglycidyl ether,Nagase Chemtex Corporation,Nhật Bản,Tiêu chuẩn cơ sở
VD-28645-17,2022-09-19T00:00:00+07:00,Polyethylene glycol monostearate,"Nippon Surfactant Industries Co., Ltd.",Nhật Bản,JPE hiện hành (JPE 2018)
VD-28645-17,2022-09-19T00:00:00+07:00,Synthetic aluminum silicate,"Kyowa Chemical Industry Co., Ltd",Nhật Bản,Nhật Bản
VD-28645-17,2022-09-19T00:00:00+07:00,Titanium oxide,"Sakai chemical industry Co., Ltd.",Nhật Bản,JP hiện hành (JP 17)
VD-28645-17,2022-09-19T00:00:00+07:00,Partially hydrolyzed polyvinyl alcohol,"Kuraray Co., Ltd.",Nhật Bản,JPE hiện hành (JPE 2018)
VD-28645-17,2022-09-19T00:00:00+07:00,Gelatin,Nitta Gelatin Inc.,Nhật Bản,JP hiện hành (JP 17)
VD-28645-17,2022-09-19T00:00:00+07:00,Partially neutralized polyacrylate,Showa Denko K.K,Nhật Bản,Tiêu chuẩn cơ sở
VD-28645-17,2022-09-19T00:00:00+07:00,Polyacrylic acid,"Nippon Shokubai Co., Ltd.",Nhật Bản,Tiêu chuẩn cơ sở
VD-22387-15,2022-03-19T00:00:00+07:00,Perfume,"Hisamitsu Pharmaceutical Co., Inc.",Nhật Bản,Tiêu chuẩn cơ sở
VD-22387-15,2022-03-19T00:00:00+07:00,Dibutylhydroxytoluene,"Honshu Chemical Industry Co., Ltd.",Nhật Bản,JPE hiện hành (JPE 2018)
VD-22387-15,2022-03-19T00:00:00+07:00,Starch grafted acrylate 1000,"Sanyo Chemical Industries, Ltd.",Nhật Bản,JPE hiện hành (JPE 2018)
VD-22387-15,2022-03-19T00:00:00+07:00,Titanium oxide,Ishihara Sangyo Kaisha Ltd.,Nhật Bản,JP hiện hành (JP 17)
VD-22387-15,2022-03-19T00:00:00+07:00,Hydrated silicon dioxide,Tosoh Silica Corporation,Nhật Bản,JPE hiện hành (JPE 2018)
VD-22387-15,2022-03-19T00:00:00+07:00,Zinc oxide,"Mitsui Mining & Smelting Co., Ltd",Nhật Bản,JP hiện hành (JP 17)
VD-22387-15,2022-03-19T00:00:00+07:00,Polybutene,NOF Coporation,Nhật Bản,Tiêu chuẩn cơ sở
VD-22387-15,2022-03-19T00:00:00+07:00,Maleated rosin glycerin ester,"Arakawa Chemical Industries, Ltd.",Nhật Bản,JPE hiện hành (JPE 2018)
VD-22387-15,2022-03-19T00:00:00+07:00,Hydrogenated rosin glycerol ester,"Arakawa Chemical Industries, Ltd.",Nhật Bản,JPE hiện hành (JPE 2018)
VD-22387-15,2022-03-19T00:00:00+07:00,Polyisobutylene,BASF SE,Đức,Tiêu chuẩn cơ sở
VD-34572-20,2025-12-21T00:00:00+07:00,SODIUM CARBONATE IPH (SODA ASH IPH),Solvay Operations France,Pháp,EP 9.0
VD-29363-18,2023-02-22T00:00:00+07:00,Sodium starch glycolate (GLYCOLYS/ROQUETTE SODIUM STARCH GLYCOLATE),ROQUETTE FRERES,France,Ph. Eur. 10.3
VD-29363-18,2023-02-22T00:00:00+07:00,Talc (LUZENAC),Imerys Talc Luzenac France,France,Ph. Eur. 10.3
VD-29363-18,2023-02-22T00:00:00+07:00,Magnesium stearate,FACI ASIA PACIFIC PTE LTD,Singapore,Ph. Eur. 10.3
VD-29363-18,2023-02-22T00:00:00+07:00,Kaolin Heavy,ERBSLÖH LOHRHEIM GMBH (FABER LOHRHEIM GMBH),Germany,Ph. Eur. 10.3
VD-29363-18,2023-02-22T00:00:00+07:00,Talc (MicroTalc Pharma),Elementis Minerals B.V.,The Netherlands,Ph. Eur. 10.3
VD-29363-18,2023-02-22T00:00:00+07:00,Opadry OY-S 29019 Clear (OPADRY COMPLETE FILM COATING SYSTEM OY-S 29019 CLEAR),COLORCON (Shanghai Colorcon Coating Technology Limited),China,Nhà sản xuất
VD-29363-18,2023-02-22T00:00:00+07:00,Opadry II 85F 18422 White (OPADRY II COMPLETE FILM COATING SYSTEM 85F18422 WHITE),COLORCON (Shanghai Colorcon Coating Technology Limited),China,Nhà sản xuất
VD-29363-18,2023-02-22T00:00:00+07:00,Copovidone (Kollidon VA 64),BASF SE,Germany,Ph. Eur. 10.3
VD-29363-18,2023-02-22T00:00:00+07:00,Gôm arabic (Spray Dried Gum Acacia),ALLAND & ROBERT,France,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Magnesium stearate,FACI ASIA PACIFIC PTE LTD,Singapore,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Lactose monohydrate  (GranuLac 200),MEGGLE GmbH & Co. KG,Germany,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Lactose monohydrate (Lactose HMS Impalpable Grade 200M),FrieslandCampina DMV B.V theo hợp đồng với  DFE Pharma GmbH & Co. KG,The Netherlands,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Polyethylen glycol 6000 (Macrogol 6000) (Lipoxol 6000 Med Powder),SASOL Germany GmbH,Germany,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Hydroxypropyl Methylcellulose E-6 / Hypromellose (Pharmacoat 606),"SHIN-ETSU CHEMICAL CO., LTD.",Japan,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Colloidal hydrate silica (LEVILITE),ARKEMA (tên cũ: CECA),France,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Erythrosin (FD&C RED NO. 3 POWDER),SENSIENT,USA,Nhà sản xuất
VD-29367-18,2023-02-22T00:00:00+07:00,Colloidal anhydrous silica (Aerosil),Evonik Operations GmBH,Germany,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Fumed Metal Oxide (CAB-O-SIL M-5P)  (Colloidal anhydrous silica),CABOT GmbFumed Metal Oxide (CAB-O-SIL M-5P)H,Germany,Ph. Eur. 10.3
VD-29367-18,2023-02-22T00:00:00+07:00,Wheat starch (Wheat starch TB),ROQUETTE FRERES,France,Ph. Eur. 10.3
VD-12687-10,2022-06-17T00:00:00+07:00,Perfume,"Hisamitsu Pharmaceutical Co., Ltd.",Nhật Bản,Tiêu chuẩn cơ sở
VD-12687-10,2022-06-17T00:00:00+07:00,Carboxy vinyl polymer,"Lubrizol Advance Material, Inc.",USA,USP/NF hiện hành (USP 43/NF 38)
VD-12687-10,2022-06-17T00:00:00+07:00,Carboxy vinyl polymer,"Lubrizol Advance Material, Inc.",USA,JPE hiện hành (JPE 2018)
VD-12687-10,2022-06-17T00:00:00+07:00,Hydroxy propyl cellulose,"Nippon Soda Co., Ltd.",Nhật Bản,JP hiện hành (JP 17)
VD-12687-10,2022-06-17T00:00:00+07:00,Propylen glycol,AGC Inc.,Nhật Bản,JP hiện hành (JP 17)
VD-12687-10,2022-06-17T00:00:00+07:00,Polyoxyethylene oleylamine,"Nippon Surfactant Industries Co., Ltd.",Japan,JSQI hiện hành (JSQI 2006)
VD-35539-22,2027-01-05T00:00:00+07:00,Colloidal silicon dioxyd,"Cabot GmbH, Werk Rheinfelden",Germany,USP-NF phiên bản hiện hành (USP-NF 2021)
VD-35539-22,2027-01-05T00:00:00+07:00,Magnesi stearat,Peter Greven Asia SDN.BHD,Malaysia,USP-NF phiên bản hiện hành (USP-NF 2021)
VD-35539-22,2027-01-05T00:00:00+07:00,Natri carboxymethyl cellulose,CP Kelco OY,Finland,USP-NF phiên bản hiện hành (USP-NF 2021)
VD-35539-22,2027-01-05T00:00:00+07:00,Hypromellose 2208 – 100.000 mPa.s (Methocel K100M Premium Hydroxypropyl Methylcellulose),"Nutrition & Biosciences USA 1, LLC (Midland Methocel)",United States,USP-NF phiên bản hiện hành (USP-NF 2021)
VD-30883-18,2023-07-05T00:00:00+07:00,Sucrose,"Mitr Phol Sugar (United Farmer & Industry Co., Ltd.)",Thái Lan,USP phiên bản hiện hành
VD-30883-18,2023-07-05T00:00:00+07:00,Calcium stearate,Oleon (Asia Pacific) SDN. BHD,Malaysia,USP phiên bản hiện hành
VD-30883-18,2023-07-05T00:00:00+07:00,Tinh dầu bạc hà,"Takasago International (Singapore) Pte, Ltd.",Singapore,USP phiên bản hiện hành
VD-30883-18,2023-07-05T00:00:00+07:00,Menthol,"Shanghai Polarbear Pharmaceutical Co., Ltd.",Trung Quốc,USP phiên bản hiện hành
VD-30883-18,2023-07-05T00:00:00+07:00,Povidone K-90,ISP   CHEMICALS LLC.,Hoa kỳ,USP phiên bản hiện hành
VD-30883-18,2023-07-05T00:00:00+07:00,Natri Cyclamate,"Golden time Chemical Co., Ltd.",Trung Quốc,BP phiên bản hiện hành
VD-30174-18,2023-03-27T00:00:00+07:00,Acid phosphoric,MERK KgaA,Đức,USP phiên bản hiện hành
VD-30174-18,2023-03-27T00:00:00+07:00,Hương anh đào,"TFF (Thai Flavour and Fragrance CO., LTD.)",Thái Lan,TCCS
VD-30174-18,2023-03-27T00:00:00+07:00,Màu đỏ Carmoisin,"Sensient Colors, S.A. DE C.V.",Mê xi cô,TCCS
VD-30174-18,2023-03-27T00:00:00+07:00,Bột màu đỏ số 40,Sensient Colors LLC,Hoa Kỳ,TCCS
VD-30174-18,2023-03-27T00:00:00+07:00,Natri hydroxyd,SPOLCHEMIE,Cộng hòa Séc,USP phiên bản hiện hành
VD-30174-18,2023-03-27T00:00:00+07:00,Natri cyclamat,"Golden time Chemical Co., Ltd.",Trung Quốc,BP phiên bản hiện hành
VD-30174-18,2023-03-27T00:00:00+07:00,Xanthan gum,TIC GUMS,Singapore,USP phiên bản hiện hành
VD-30174-18,2023-03-27T00:00:00+07:00,Propylen glycol,DOW Chemical Thailand Ltd.,Thái Lan,USP phiên bản hiện hành
VD-30174-18,2023-03-27T00:00:00+07:00,Propylparaben,"Clariant Produkte (Deutschland) GmbH, Werk Gendorf",Đức,USP-NF phiên bản hiện hành
VD-30174-18,2023-03-27T00:00:00+07:00,Methylparaben,Sharon Laboratories Ltd.,Israel,USP-NF phiên bản hiện hành
VD-30174-18,2023-03-27T00:00:00+07:00,Dung dịch Sorbitol,Roquette,Pháp,USP phiên bản hiện hành
VD-26028-16,2022-11-15T00:00:00+07:00,Propylparaben,CLARIANT SPECIALTY CHEMICALS,Trung Quốc,USP-NF phiên bản hiện hành
VD-26028-16,2022-11-15T00:00:00+07:00,Methylparaben,SHARON LABORATORIES LTD.,Israel,USP-NF phiên bản hiện hành
VD-26028-16,2022-11-15T00:00:00+07:00,Natri starch glycolat (Primojel),"YUNG ZIP CHEMICAL IND. CO., LTD.",Đài Loan,USP-NF phiên bản hiện hành
VD-26028-16,2022-11-15T00:00:00+07:00,Povidon K-90,ISP CHEMICALS LLC.,Hoa Kỳ,USP-NF phiên bản hiện hành
VD-26028-16,2022-11-15T00:00:00+07:00,Magnesi stearat,OLEON (ASIA-PACIFIC) SDN BHD.,Malaysia,USP-NF phiên bản hiện hành
VD-26028-16,2022-11-15T00:00:00+07:00,Partially pregelatinized starch (Era - Pac),"ERAWAN PHARMACEUTICAL RESEARCH AND LABORATORY CO., LTD.",Thái Lan,USP-NF phiên bản hiện hành
VD-26028-16,2022-11-15T00:00:00+07:00,Pregelatinized starch (Era - Gel),"ERAWAN PHARMACEUTICAL RESEARCH AND LABORATORY CO., LTD.",Thái Lan,USP-NF phiên bản hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Ethyl vanillin,Borregaard AS,Norway,USP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Propylparaben,"Ueno Fine Chemicals Industry, Ltd",Japan,BP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Methylparaben,"Ueno Fine Chemicals Industry, Ltd",Japan,BP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Oxyd sắt nâu (Tên thương mại: BROWN IRON OXIDE 18142),Univar colour,England,USP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Oxyd sắt đỏ (Tên thương mại: RED IRON OXIDE 17045),Univar colour,England,USP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Sorbitol (Tên thương mại: Sorbitol special),SPI Pharma,USA,BP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Sorbitol (Tên thương mại: Polysorb 85/70/00),Roquette,France,BP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Glycerin,P&G Chemicals,Malaysia,BP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Gelatin (Tên thương mại: Gelatin 150BL),Nitta Gelatin Inc,Japan,USP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Palm oil,"Lotte food Co., Ltd",Korea,Nhà sản xuất
VD-19791-13,2022-02-05T00:00:00+07:00,Lecithin,Cargill,USA,USP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Colloidal silicon dioxid,Evonik Resource Efficiency GmbH,Germany,BP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Colloidal silicon dioxid,Wacker Chemie AG,Germany,BP hiện hành
VD-19791-13,2022-02-05T00:00:00+07:00,Sáp ong trắng (Tên thương mại: KahlWax 8108/ White Pharma Beeswax),Kahl GmbH & Co. KG,Germany,BP hiện hành
VD-19139-13,2022-08-04T00:00:00+07:00,Brown HT (Tên thương mại: 36007 Edicol Brown HT),Univar colour,England,Nhà sản xuất
VD-19139-13,2022-08-04T00:00:00+07:00,Oxyd sắt đen (Tên thương mại: BLACK IRON OXIDE 17042),Univar colour,England,USP 41
VD-19139-13,2022-08-04T00:00:00+07:00,Ethyl vanillin,Borregaard AS,Norway,USP 41
VD-19139-13,2022-08-04T00:00:00+07:00,Propylparaben,"Ueno Fine Chemicals Industry, Ltd",Japan,BP 2018
VD-19139-13,2022-08-04T00:00:00+07:00,Methylparaben,"Ueno Fine Chemicals Industry, Ltd",Japan,BP 2018
VD-19139-13,2022-08-04T00:00:00+07:00,Sorbitol (Tên thương mại: Sorbitol special),SPI Pharma,USA,BP 2018
VD-19139-13,2022-08-04T00:00:00+07:00,Glycerin,P&G Chemicals,Malaysia,BP 2018 /USP 41
VD-19139-13,2022-08-04T00:00:00+07:00,Gelatin (Tên thương mại: Gelatin 150BL),Nitta Gelatin Inc,Japan,USP 41
VD-19139-13,2022-08-04T00:00:00+07:00,Colloidal silicon dioxid,Wacker Chemie AG,Germany,BP 2018 /USP 41
VD-19139-13,2022-08-04T00:00:00+07:00,Palm oil,"Lotte food Co., Ltd",Korea,BP 2018
VD-19139-13,2022-08-04T00:00:00+07:00,Lecithin,Cargill,USA,USP 41
VD-19139-13,2022-08-04T00:00:00+07:00,Sáp ong trắng (Tên thương mại: KahlWax 8108/ White Pharma Beeswax),Kahl GmbH & Co. KG,Germany,BP 2018
VD-18885-13,2022-05-06T00:00:00+07:00,Alicyclic saturated hydrocarbon resin,"Arakawa Chemical Industries, Ltd",Nhật Bản,Tiêu chuẩn cơ sở
VD-18885-13,2022-05-06T00:00:00+07:00,Synthetic aluminum silicate,"Kyowa Chemical Industry Co., Ltd",Nhật Bản,JP hiện hành (JP 17)
VD-18885-13,2022-05-06T00:00:00+07:00,Liquid paraffin,"Kaneda Co., Ltd",Nhật Bản,JP hiện hành (JP 17)
VD-18885-13,2022-05-06T00:00:00+07:00,Polyisobutylene,BASF SE,Đức,Tiêu chuẩn cơ sở
VD-18885-13,2022-05-06T00:00:00+07:00,Styrene isoprene styrene block copolymer,Zeon Corporation Zeon Corporation,Nhật Bản,JPE hiện hành (JPE 2018)
VD-29553-18,2023-02-22T00:00:00+07:00,Magnesi stearat,Oleon (Asia-Pacific) SDN BHD.,Malaysia,USP phiên bản hiện hành
VD-29553-18,2023-02-22T00:00:00+07:00,Natri starch glycolat,"Yung zip chemical ind. Co., Ltd.",Đài Loan,USP phiên bản hiện hành
VD-29553-18,2023-02-22T00:00:00+07:00,FD & C Yellow No.5 (Màu vàng Tartrazin),Sensient Colors LLC,Hoa Kỳ,TCCS
VD-29553-18,2023-02-22T00:00:00+07:00,Povidon K-90,ISP CHEMICALS LLC.,Hoa kỳ,USP phiên bản hiện hành
VD-29553-18,2023-02-22T00:00:00+07:00,"Starch, rice, Pregelatinized","Erawan Pharmaceutical Research and Laboratory Co., Ltd.",Thái Lan,USP phiên bản hiện hành
VD-28793-18,2023-02-22T00:00:00+07:00,Hydroxy Propyl Methyl Cellulose (Hypromellose),"Anhui Sunhere Pharmaceutical Excipients Co., Ltd",China,USP 43
VD-33871-19,2024-10-23T00:00:00+07:00,Microcrystalline Cellulose 102 ( Cellulose vi tinh thể),Accent Microcell Private Limited,INDIA,USP 43
VD-20133-13,2022-07-15T00:00:00+07:00,Dầu Lavender (Dầu oải hương),"TFF (THAI FLAVOUR AND FRAGRANCE CO., LTD)",Thái Lan,BP phiên bản hiện hành
VD-20133-13,2022-07-15T00:00:00+07:00,Dinatri edetat,MERK S.L.U.,Tây Ban Nha,USP phiên bản hiện hành
VD-20133-13,2022-07-15T00:00:00+07:00,Natri bisulfit,AVANTOR PERFORMANC E MATERIALS INC.,Hoa Kỳ,TCCS
VD-20133-13,2022-07-15T00:00:00+07:00,Butylated hydroxytoluen,SIGMA-ALDRI CH,Hoa Kỳ,USP-N F phiên bản hiện hành
VD-20133-13,2022-07-15T00:00:00+07:00,Butylated hydroxyanisol,SIGMA-ALDRI CH,Hoa Kỳ,USP-N F phiên bản hiện hành
VD-20133-13,2022-07-15T00:00:00+07:00,Terpinyl acetat,"TFF (THAI FLAVOUR AND FRAGRANCE CO., LTD)",Thái Lan,TCCS
VD-20133-13,2022-07-15T00:00:00+07:00,Benzyl alcohol,Merck KGaA,Đức,USP-N F phiên bản hiện hành
VD-20133-13,2022-07-15T00:00:00+07:00,Parafin lỏng,"KESOON FINE CHEMICAL CO., LIMITED",Trung Quốc,BP phiên bản hiện hành
VD-20133-13,2022-07-15T00:00:00+07:00,Propylen Glycol,DOW CHEMICAL THAILAND LTD,Thái Lan,USP phiên bản hiện hành
VD-20133-13,2022-07-15T00:00:00+07:00,Cetiol LC,BASF Personal Care and Nutrition GmbH,Đức,TCCS
VD-20133-13,2022-07-15T00:00:00+07:00,Cetomacrogol 1000,CRODA SINGAPORE PTE LTD.,Singapore,TCCS
VD-20133-13,2022-07-15T00:00:00+07:00,Carbomer 934P,LUBRIZOL,Hoa Kỳ,USP-N F phiên bản hiện hành
VD-20133-13,2022-07-15T00:00:00+07:00,Isopropyl alcohol,"Top Solvent Co., Ltd",Thái Lan,USP phiên bản hiện hành
VS-4864-13,2022-06-29T00:00:00+07:00,Quinoline yellow  (Tên thương mại: 36012 Edicol Quinoline Yellow),Univar colour,England,Nhà sản xuất
VS-4864-13,2022-06-29T00:00:00+07:00,Green mint,"Proquimac PFC, S.A.",Spain,Nhà sản xuất
VS-4864-13,2022-06-29T00:00:00+07:00,Natri benzoat,Eastman,Estonia,USP hiện hành
VS-4864-13,2022-06-29T00:00:00+07:00,Propylparaben,"Ueno Fine Chemicals Industry, Ltd",Japan,BP hiện hành
VS-4864-13,2022-06-29T00:00:00+07:00,Methylparaben,"Ueno Fine Chemicals Industry, Ltd",Japan,BP hiện hành
VS-4864-13,2022-06-29T00:00:00+07:00,Sorbitol,Roquette,France,BP hiện hành
VS-4864-13,2022-06-29T00:00:00+07:00,Xylitol (Tên thương mại: XYLISORB 300 (PHARMA GR),Roquette,France,BP hiện hành
VD-19692-13,2022-02-08T00:00:00+07:00,"""Halal"" Hard Gelatin Capsules (Empty Hard Gelatin Capsule) size 3 yellow OP - white OP (42960-44901)",PT. Capsugel Indonesia,Indonesia,In-house
VD-26569-17,2022-02-06T00:00:00+07:00,Meglumine,"Suzhou Jingye Medicine & Chemical Co., Ltd",China,USP 43
VD-20084-13,2022-02-17T00:00:00+07:00,Betaine HCl,"Sunrise chemical Co., LTD.",China,USP 41
VD-22667-15,2022-05-26T00:00:00+07:00,"""Halal"" Hard Gelatin Capsules (Empty Hard Gelatin Capsule) size 1 DK Green OP - LT. Green OP (18947-17942)",PT. Capsugel Indonesia,Indonesia,In-house
VD-29499-18,2023-02-22T00:00:00+07:00,Methylene Chloride,Runa Chemicals Pvt. Ltd.,India,EP 10.0
VD-29499-18,2023-02-22T00:00:00+07:00,Opadry® complete film coating system 04B56704 brown,Colorcon Asia Pvt Limited,India,In-house
VD-28322-17,2022-09-19T00:00:00+07:00,Polyethylene glycol 20000 (EMPROVE ESSENTIAL),MERCK KGaA,Germany,EP 10.3
VD-28322-17,2022-09-19T00:00:00+07:00,Hydroxypropylmethylcellulose E-6 (Pharmacoat 606/Hypromellose),"SHIN-ETSU CHEMICAL CO., LTD.",Japan,EP 10.3
VD-28322-17,2022-09-19T00:00:00+07:00,Hydroxypropylmethylcellulose E-6 (Methocel E6),"Nutrition & Biosciences USA 1, LLC (tên cũ: DDP Specialty Electronic Materials US, Inc.)",United States (USA),EP 10.3
VD-28322-17,2022-09-19T00:00:00+07:00,Magnesium stearate,FACI ASIA PACIFIC PTE LTD,Singapore,EP 10.3
VD-28322-17,2022-09-19T00:00:00+07:00,Povidone (Kollidon),BASF Corporation,United States (USA),EP 10.3
VD-32207-19,2024-02-27T00:00:00+07:00,Aroma caramel cerise,V.MANE FILS,France,Nhà sản xuất
VD-32207-19,2024-02-27T00:00:00+07:00,Saccharine sodium,JMC Corporation,South Korea,Ph. Eur 9.4
VD-32207-19,2024-02-27T00:00:00+07:00,Sodium metabisulfite,ESSECO,Italia,Nhà sản xuất
VD3-168-22,2025-02-17T00:00:00+07:00,"""Halal"" Hard Gelatin Capsules (Empty Hard Gelatin Capsule) size 0 white OP - white OP (44902-44902)",PT. Capsugel Indonesia,Indonesia,In-house
VD3-168-22,2025-02-17T00:00:00+07:00,Microcrystalline cellulose,JRS Pharma,Germany,EP phiên bản hiện hành (EP 10)
VD-32288-19,2024-02-27T00:00:00+07:00,Opadry YS-1-7006 clear (Opadry® Complete Film Coating System YS-1-7006 Clear),Shanghai Colorcon Coating Technology Limited,China,Tiêu chuẩn nhà sản xuất
VD-32288-19,2024-02-27T00:00:00+07:00,Magnesi stearat (Magnesium Stearate),Sun Ace Kakoh Pte Ltd.,Singapore,USP 39
VD-32288-19,2024-02-27T00:00:00+07:00,Polyethylen glycol 3350,The Dow Chemical Company,USA,USP 36
VD-32288-19,2024-02-27T00:00:00+07:00,Microcrystallin cellulose PH101 (Microcrystalline Cellulose M101D+ (Comprecel)),"Mingtai Chemical Co., Ltd.",Taiwan,BP 2016
VD-32288-19,2024-02-27T00:00:00+07:00,Natri lauryl sulfat (Emal 10 N),PT. Kao Indonesia Chemicals,Indonesia,BP 2016
VD-32288-19,2024-02-27T00:00:00+07:00,Povidon K30 (Kollidon 30),Basf Corporation,USA,EP 8.0
VD-32288-19,2024-02-27T00:00:00+07:00,Natri starch glycolat (Sodium Starch Glycolate (Glycolys)),Roquette Freres,France,USP 39
VD-30752-18,2023-07-05T00:00:00+07:00,"Mannitol (Pearlitol 200M, Pearlitol 200SD)",Roquette Freres,France,USP 36
VD-30752-18,2023-07-05T00:00:00+07:00,Magnesi stearat (Magnesium Stearate),Sun Ace Kakoh Pte Ltd.,Singapore,USP 39
VD-30752-18,2023-07-05T00:00:00+07:00,Bột mùi cam (Orange Powder),M-Tech Aroma International Ltd.,Hong Kong,Tiêu chuẩn nhà sản xuất
VD-30752-18,2023-07-05T00:00:00+07:00,Bột mùi Tutti Frutti (Tutti Frutti Flavouring Powder),IPRA France Produits Aromatiques,France,Tiêu chuẩn nhà sản xuất
VD-30752-18,2023-07-05T00:00:00+07:00,Citric Acid Anhydrous (Citric Acid Anhydrous CAA F6000),Jungbunzlauer Austria AG,Austria,EP 8.0
VD-30752-18,2023-07-05T00:00:00+07:00,Aspartame (Vitasweet Aspartame),"VITASWEET Co.,Ltd-China",China,EP 8.0
VD-30752-18,2023-07-05T00:00:00+07:00,Hydroxypropyl cellulose type L (Klucel LF Pharm  Klucel (TM) LF Pharm Hydroxypropylcellulose),Ashland - Chemical Marketing Concepts Europe (CMC Europe),Netherlands,EP 8.0
VD-30752-18,2023-07-05T00:00:00+07:00,"Lactose khan (Anhydrous Lactose  (SuperTab 21AN, anhydrous))",DMV-Fonterra Excipients,Germany,EP 8.0
VD-32281-19,2024-02-27T00:00:00+07:00,Colloidal silicon dioxid A200. Colloidal silicon dioxide (CAB-O-SIL M5P),Cabot,Germany,EP 8.0
VD-32281-19,2024-02-27T00:00:00+07:00,Magnesi stearat (Magnesium Stearate),Sun Ace Kakoh Pte Ltd.,Singapore,USP 39
VD-32281-19,2024-02-27T00:00:00+07:00,Natri starch glycolat. Sodium Starch Glycolate (Glycolys),Roquette Freres.,France,USP 39
